manuscript_item	dataset	analysis_output_or_panel	source_script	status	comments
Fig5b	BRD4_ZBC	Global_ES_Forest_33Mode.pdf	analysis/figure_scripts/plot_global_es_forest.R	verified_output_name	Global full-set effect size
Fig5c	BRD4_ZBC	SignalDensity_UniqueSets_ES_hop0_NativeLegend.pdf	analysis/figure_scripts/plot_signal_density_uniquesets_es_v3.R	verified_output_name	Uses master .signal_density_cache.rds and correct non-assigned background
Fig5d	BRD4_ZBC	Venn_4Pipelines_allT_vs_ChIPseeker.pdf	analysis/figure_scripts/plot_venn_pipelines.R	verified_output_name	Four pipelines versus ChIPseeker
Fig5e	BRD4_ZBC	GO_Nested_Square_Heatmap.pdf	analysis/figure_scripts/plot_go_irefined.R	verified_output_name	Functional enrichment panel; final panel selection should be visually checked
Fig6b	FOSL2_ZBC	Global_ES_Forest_33Mode.pdf	analysis/figure_scripts/plot_global_es_forest.R	verified_output_name	Global full-set effect size
Fig6c	FOSL2_ZBC	SignalDensity_UniqueSets_ES_hop0_NativeLegend.pdf	analysis/figure_scripts/plot_signal_density_uniquesets_es_v3.R	verified_output_name	Uses master .signal_density_cache.rds
Fig6d	FOSL2_ZBC	Venn_4Pipelines_allT_vs_ChIPseeker.pdf	analysis/figure_scripts/plot_venn_pipelines.R	verified_output_name	Final Illustrator file may contain an externally linked alternative; verify before archive
Fig6e	FOSL2_ZBC	GO_Nested_Square_Heatmap.pdf	analysis/figure_scripts/plot_go_irefined.R	verified_output_name	Functional enrichment panel
FigS3_density_ZBC	BRD4_ZBC	GSEA_Unique_Density_*_size200_newplot.pdf	analysis/figure_scripts/1.plot_unique_gsea_cached.R	verified_selected_file	Density reads master tmp_unique results; 300 iterations, size200
FigS3_convergence_ZBC	BRD4_ZBC	Convergence_CMA_hop0_size200.pdf	analysis/figure_scripts/plot_convergence_cma_hop0.R	verified_replot_workflow	Strictly selects 16 hop0 modes from existing size200 iteration CSVs
FigS3_density_ARV	BRD4_ARV	GSEA_Unique_Density_*_size200_newplot.pdf	analysis/figure_scripts/1.plot_unique_gsea_cached.R	verified_selected_file	Density reads master tmp_unique results; 300 iterations, size200
FigS3_convergence_ARV	BRD4_ARV	Convergence_CMA_hop0_size200.pdf	analysis/figure_scripts/plot_convergence_cma_hop0.R	verified_replot_workflow	Strictly selects 16 hop0 modes from existing size200 iteration CSVs
FOSL2_GSEA_density_ZBC	FOSL2_ZBC	GSEA_Unique_Density_*_size200_newplot.pdf	analysis/figure_scripts/1.plot_unique_gsea_cached.R	verified_selected_file	Exact supplementary numbering requires final caption alignment
FOSL2_GSEA_convergence_ZBC	FOSL2_ZBC	Convergence_CMA_hop0_size200.pdf	analysis/figure_scripts/plot_convergence_cma_hop0.R	verified_replot_workflow	300 iterations; hop0 only
FOSL2_GSEA_density_ARV	FOSL2_ARV	GSEA_Unique_Density_*_size200_newplot.pdf	analysis/figure_scripts/1.plot_unique_gsea_cached.R	verified_selected_file	Exact supplementary numbering requires final caption alignment
FOSL2_GSEA_convergence_ARV	FOSL2_ARV	Convergence_CMA_hop0_size200.pdf	analysis/figure_scripts/plot_convergence_cma_hop0.R	verified_replot_workflow	300 iterations; hop0 only
Supplementary_distance	BRD4_or_FOSL2	Distance_Density_Overlay_LogTicks.pdf;Distance_Boxplot_Pipeline_LogTicks.pdf	analysis/figure_scripts/plot_distance_hop0_v2_new.R	verified_output_name	Reads Peak_Gene_Distance_Analysis.xlsx from master
Supplementary_evidence	BRD4_or_FOSL2	Distance_by_Evidence_custom.pdf	analysis/figure_scripts/plot_distance_by_evidence.R	verified_output_name	Evidence-stratified distance plot
Supplementary_expression_sensitivity	multiple	ExpressionSensitivity_v5_*.pdf	analysis/figure_scripts/1.plot_expression_sensitivity_integrated_v4.R	selected_results_support	Sensitivity analysis; confirm whether submitted supplement includes every output
Not_used	multiple	GSEA_Unique_EffectSize_Forest_*_newplot.pdf	analysis/figure_scripts/1.plot_unique_gsea_cached.R	not_in_final_selected_directory	Do not cite as submitted result
Not_used	multiple	GSEA_Unique_ThreeSet_ES_Forest_*_newplot.pdf	analysis/figure_scripts/1.plot_unique_gsea_cached.R	not_in_final_selected_directory	Do not cite as submitted result
